Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
16,State,Manipur,99,190,33,234,430,49,55,70,5,7,10,0,97,175,22,0,0,0,65,105,9,35,55,3,30,50,6,8,13,2,10,17,2,27,36,13,0,0,0,602,1046,135,0,0,0,602,1046,135
17,State,Meghalaya,70,63,51,107,77,77,13,16,15,0,0,0,9,7,7,0,0,0,13,10,8,3,4,3,10,6,5,5,4,6,0,0,0,39,54,31,2,1,1,258,232,196,0,0,0,258,232,196
18,State,Mizoram,13,39,21,22,25,26,5,4,4,0,0,0,6,4,6,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,4,0,0,0,50,73,62,0,0,0,50,73,62
19,State,Nagaland,15,19,11,13,18,9,7,7,4,0,0,0,9,36,8,0,0,0,1,1,1,0,0,0,1,1,1,3,7,2,0,0,0,2,2,0,0,0,0,50,90,35,9,0,9,59,90,44
20,State,Odisha,1172,969,592,6021,6503,2873,458,467,212,0,0,0,69,52,20,13,34,32,122,91,31,63,47,20,59,44,11,281,339,79,786,564,241,264,236,137,2076,2134,1019,11262,11389,5236,0,0,0,11262,11389,5236
21,State,Punjab,1496,817,1181,2880,1454,2176,200,154,163,99,45,66,140,87,96,201,94,151,683,325,439,446,221,304,237,104,135,140,80,71,164,61,85,117,52,92,304,170,218,6424,3339,4738,0,0,0,6424,3339,4738
22,State,Rajasthan,4789,4743,2164,12546,12456,5994,587,638,285,44,49,29,111,148,75,84,75,43,47,55,30,23,31,21,24,24,9,50,49,35,25,36,16,216,250,129,3244,3048,1520,21743,21547,10320,0,0,0,21743,21547,10320
23,State,Sikkim,38,97,25,52,102,17,15,26,0,4,1,1,9,21,2,0,0,0,15,29,8,6,12,1,9,17,7,7,13,3,0,0,0,5,18,9,24,50,6,169,357,71,0,0,0,169,357,71
24,State,Tamil Nadu,9503,10568,1568,46123,53251,9224,912,927,143,259,266,15,479,481,145,437,704,87,825,887,232,116,131,18,709,756,214,696,710,274,569,682,118,264,225,64,3853,5836,346,63920,74537,12216,0,0,0,63920,74537,12216
25,State,Telangana,2070,2091,650,18649,19617,5377,168,163,49,12,11,7,28,25,3,493,687,203,147,171,57,5,7,0,142,164,57,21,39,13,136,188,30,280,326,110,226,295,104,22230,23613,6603,0,0,0,22230,23613,6603
26,State,Tripura,131,189,49,366,472,136,41,68,20,0,0,0,0,0,0,0,0,0,13,12,7,2,2,1,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,551,741,212,12,0,12,563,741,224
27,State,Uttar Pradesh,20251,12425,12573,10848,5939,6522,1452,899,754,113,126,111,141,147,116,371,277,217,926,771,711,616,489,481,310,282,230,142,170,109,148,126,123,879,536,460,1584,906,845,36855,22322,22541,0,0,0,36855,22322,22541
28,State,Uttarakhand,433,444,267,529,550,369,41,41,35,11,6,5,20,24,15,15,11,2,225,159,144,100,57,69,125,102,75,40,159,109,1,2,1,154,187,126,0,0,0,1469,1583,1073,0,0,0,1469,1583,1073
29,State,West Bengal,2920,3115,1402,3137,2788,1719,303,342,113,92,58,35,764,559,445,105,67,56,1143,922,330,554,363,141,589,559,189,269,220,39,182,138,30,787,692,240,2125,1938,1060,11827,10839,5469,0,0,0,11827,10839,5469
State,State,Total (States),106499,97736,40799,260499,271643,83470,8548,8162,3244,1856,2089,810,4517,4448,2117,3185,3485,1393,10842,10075,4486,4612,3972,2128,6230,6103,2358,3377,3494,1230,3672,3238,1192,7524,7020,2902,26156,27079,8966,436675,438469,150609,40,0,40,436715,438469,150649
30,Union Territory,A & N Islands,16,11,1,153,160,7,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70,11,254,260,19,0,0,0,254,260,19
31,Union Territory,Chandigarh,62,46,29,223,195,57,8,7,2,2,2,1,2,1,1,0,0,0,4,2,4,3,2,3,1,0,1,6,5,3,5,4,2,4,4,1,1,1,1,317,267,101,0,0,0,317,267,101
32,Union Territory,D & N Haveli,50,27,41,28,39,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,66,54,0,0,0,80,66,54
33,Union Territory,Daman & Diu,4,3,1,65,83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,71,86,36,0,0,0,71,86,36
34,Union Territory,Delhi (UT),3032,2635,782,2166,1853,656,151,132,24,5,6,1,37,43,9,8,4,3,76,68,15,44,40,10,32,28,5,17,16,3,13,11,1,386,342,84,626,530,156,6517,5640,1734,0,0,0,6517,5640,1734
35,Union Territory,Lakshadweep,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,3,1
36,Union Territory,Puducherry,32,0,0,1023,1023,110,22,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,682,114,1597,1727,226,0,0,0,1597,1727,226
Union Territory,Union Territory,Total (UTs),3196,2722,854,3659,3354,876,202,180,28,9,10,2,39,44,10,8,4,3,81,70,20,48,42,14,33,28,6,24,21,7,19,15,4,390,346,85,1212,1283,282,8839,8049,2171,0,0,0,8839,8049,2171
Total (All India),Total (All India),Total (All India),109695,100458,41653,264158,274997,84346,8750,8342,3272,1865,2099,812,4556,4492,2127,3193,3489,1396,10923,10145,4506,4660,4014,2142,6263,6131,2364,3401,3515,1237,3691,3253,1196,7914,7366,2987,27368,28362,9248,445514,446518,152780,40,0,40,445554,446518,152820
37,City,Agra,186,125,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,125,186,0,0,0,186,125,186
38,City,Ahmedabad,430,344,78,1182,1025,293,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,1372,373,0,0,0,1617,1372,373
39,City,Allahabad,118,68,32,249,87,42,113,39,51,13,31,20,15,33,29,17,24,26,52,70,41,27,35,23,25,35,18,17,40,33,36,45,29,19,16,15,229,88,56,878,541,374,0,0,0,878,541,374
40,City,Amritsar,32,11,19,68,57,49,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,8,0,0,0,123,82,77,0,0,0,123,82,77
41,City,Asansol,116,89,73,64,50,41,2,2,0,0,0,0,0,0,0,0,0,0,14,10,9,14,10,9,0,0,0,0,0,0,0,0,0,201,160,127,0,0,0,397,311,250,0,0,0,397,311,250
42,City,Aurangabad,0,0,0,524,350,174,22,19,3,0,0,0,2,0,2,36,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2,597,405,192,0,0,0,597,405,192
43,City,Bengaluru,290,296,46,4289,3806,640,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4611,4129,686,0,0,0,4611,4129,686
44,City,Bhopal,1986,1494,112,135,155,7,5,6,0,0,0,0,12,13,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,0,162,194,12,368,319,16,2675,2188,149,11,0,11,2686,2188,160
45,City,Chandigarh (City),62,46,29,223,195,57,8,7,2,2,2,1,2,1,1,0,0,0,4,2,4,3,2,3,1,0,1,6,5,3,5,4,2,4,4,1,1,1,1,317,267,101,0,0,0,317,267,101
46,City,Chennai,2026,1984,62,3471,3266,641,343,344,55,249,249,15,397,397,137,18,17,4,39,52,7,39,52,7,0,0,0,645,639,266,392,490,73,0,0,0,0,0,0,7580,7438,1260,0,0,0,7580,7438,1260
47,City,Coimbatore,56,47,9,1072,1089,149,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,1140,162,0,0,0,1136,1140,162
48,City,Delhi (City),2628,2329,652,1945,1697,524,151,132,23,5,6,1,37,43,9,8,4,3,75,67,15,43,39,10,32,28,5,17,16,3,13,11,1,348,314,76,541,468,138,5768,5087,1445,0,0,0,5768,5087,1445
49,City,Dhanbad,123,94,85,36,28,21,0,0,0,0,0,0,23,14,9,1,2,1,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,141,119,0,0,0,187,141,119
50,City,Durg Bhilainagar,0,0,0,675,686,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,686,131,0,0,0,675,686,131
51,City,Faridabad,118,106,22,304,297,152,0,0,0,0,0,0,8,10,1,1,1,0,86,84,36,81,81,34,5,3,2,12,10,4,0,0,0,132,101,30,48,40,10,709,649,255,0,0,0,709,649,255
52,City,Ghaziabad,56,8,60,41,4,45,6,1,6,0,0,0,0,0,0,1,0,1,27,2,29,16,1,17,11,1,12,0,0,0,0,0,0,16,0,17,52,6,58,199,21,216,0,0,0,199,21,216
53,City,Gwalior,192,179,22,976,917,111,0,0,0,0,0,0,31,28,9,0,0,0,41,40,8,0,0,0,41,40,8,0,0,0,0,0,0,0,0,0,0,0,0,1240,1164,150,0,0,0,1240,1164,150
54,City,Hyderabad,928,854,42,1852,1717,254,11,8,3,12,11,7,23,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,2,0,0,0,0,0,0,2846,2629,310,0,0,0,2846,2629,310
55,City,Indore,173,170,54,238,209,60,5,0,0,0,0,0,0,0,0,0,0,0,546,450,117,0,0,0,546,450,117,0,0,0,138,80,18,761,588,29,837,677,25,2698,2174,303,0,0,0,2698,2174,303
56,City,Jabalpur,889,792,95,1223,1152,73,11,11,0,0,0,0,31,29,2,0,0,0,92,87,5,13,13,0,79,74,5,0,0,0,0,0,0,0,0,0,0,0,0,2246,2071,175,0,0,0,2246,2071,175
57,City,Jaipur,896,782,213,1720,1335,415,26,13,6,0,0,0,0,0,0,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,118,37,21,10,15,2781,2265,692,0,0,0,2781,2265,692
58,City,Jamshedpur,186,146,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,146,83,0,0,0,186,146,83
59,City,Jodhpur,128,123,35,320,250,149,15,19,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,78,32,51,549,434,245,0,0,0,549,434,245
60,City,Kannur,301,350,33,319,385,34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,735,68,0,0,0,621,735,68
61,City,Kanpur,113,44,69,766,210,556,86,70,16,3,0,3,0,0,0,70,61,9,62,62,0,38,38,0,24,24,0,11,11,0,0,0,0,7,7,0,8,8,0,1126,473,653,0,0,0,1126,473,653
62,City,Kochi,851,912,49,1425,1466,92,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,18,19,0,0,0,0,13,11,0,0,0,0,4,5,0,0,0,0,2311,2413,141,0,0,0,2311,2413,141
63,City,Kolkata,123,321,33,214,265,79,144,165,18,48,18,0,284,122,55,32,19,12,506,279,62,338,153,27,168,126,35,172,93,3,123,89,0,266,66,16,261,0,16,2173,1437,294,0,0,0,2173,1437,294
64,City,Kollam,0,0,0,1799,1858,203,2,2,0,0,0,0,0,0,0,0,0,0,17,28,1,17,28,1,0,0,0,0,0,0,0,0,0,122,109,37,0,0,0,1940,1997,241,0,0,0,1940,1997,241
65,City,Kota,22,29,2,444,449,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,478,89,0,0,0,466,478,89
66,City,Kozhikode,1133,1236,124,273,300,29,3,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,9,1,1423,1552,154,0,0,0,1423,1552,154
67,City,Lucknow,251,177,96,147,93,116,7,9,4,0,0,0,1,0,2,4,3,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,98,52,42,361,200,190,872,535,452,0,0,0,872,535,452
68,City,Ludhiana,142,72,82,285,159,197,2,1,2,2,0,3,2,0,2,7,3,7,4,2,4,3,1,3,1,1,1,2,0,2,4,1,4,13,0,13,14,2,12,477,240,328,0,0,0,477,240,328
69,City,Madurai,1,0,2,725,672,149,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,267,0,962,945,153,0,0,0,962,945,153
70,City,Malappuram,200,224,20,589,616,94,4,2,1,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,4,5,2,812,861,122,0,0,0,812,861,122
71,City,Meerut,217,162,99,231,158,74,95,70,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,390,223,0,0,0,543,390,223
72,City,Mumbai,376,96,292,278,69,217,3,0,3,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,3,0,3,1,0,1,2,0,2,24,0,24,691,165,546,0,0,0,691,165,546
73,City,Nagpur,740,689,129,589,479,154,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,1175,284,0,0,0,1340,1175,284
74,City,Nasik,54,14,49,194,25,195,0,0,0,0,0,0,0,0,0,11,4,10,5,4,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,47,259,0,0,0,264,47,259
75,City,Patna,81,60,17,520,140,382,20,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,216,406,0,0,0,621,216,406
76,City,Pune,213,74,168,133,25,73,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,42,394,146,286,0,0,0,394,146,286
77,City,Raipur,32,24,4,1052,590,89,11,5,2,5,9,1,9,14,3,3,2,0,0,0,0,0,0,0,0,0,0,6,9,4,14,5,2,101,48,35,0,0,0,1233,706,140,0,0,0,1233,706,140
78,City,Rajkot,0,0,0,568,481,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,481,202,0,0,0,568,481,202
79,City,Ranchi,3,4,7,331,238,220,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,243,230,0,0,0,337,243,230
80,City,Srinagar,0,0,0,344,351,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,3,0,0,0,375,383,46,0,0,0,375,383,46
81,City,Surat,121,118,44,820,687,271,2,4,1,0,0,0,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,813,318,0,0,0,948,813,318
82,City,Thiruvananthapuram,181,192,8,1623,2222,175,62,78,4,0,0,0,38,45,2,16,29,2,52,74,4,18,26,1,34,48,3,59,99,7,5,8,0,0,0,0,0,0,0,2036,2747,202,0,0,0,2036,2747,202
83,City,Thrissur,1576,1830,172,610,744,27,7,4,0,0,0,0,23,9,18,3,2,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2222,2593,218,0,0,0,2222,2593,218
84,City,Tiruchirappalli,38,34,11,564,617,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,651,122,0,0,0,602,651,122
85,City,Vadodara,55,59,2,711,578,180,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,640,182,0,0,0,776,640,182
86,City,Varanasi,59,33,27,20,12,9,7,4,3,0,0,0,0,0,0,1,1,1,32,16,17,18,10,9,14,6,8,0,0,0,3,2,1,86,48,40,0,0,0,208,116,98,0,0,0,208,116,98
87,City,Vasai Virar,158,85,75,176,97,79,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,0,13,3,11,6,3,9,364,199,174,0,0,0,364,199,174
88,City,Vijayawada,225,237,41,1362,1167,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,87,24,1663,1491,357,0,0,0,1663,1491,357
89,City,Vishakhapatnam,380,328,112,494,375,221,20,22,1,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,921,725,343,0,0,0,921,725,343
City,City,Total (Cities),19265,17491,3776,38213,33900,8678,1272,1111,279,355,329,54,952,779,295,245,210,98,1679,1351,369,696,515,152,983,836,217,989,961,329,764,769,136,2516,1877,551,3240,2280,700,69490,61058,15265,11,0,11,69501,61058,15276
