Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
1,State,Andhra Pradesh,5495,4567,1441,14258,16069,5473,126,122,79,29,37,4,87,134,9,54,66,31,313,396,138,69,105,30,244,291,108,16,8,14,55,42,52,122,68,64,453,500,279,21008,22009,7584,0,0,0,21008,22009,7584
2,State,Arunachal Pradesh,35,27,11,65,63,40,5,7,6,0,0,0,14,26,12,1,4,0,13,13,6,10,10,2,3,3,4,16,32,25,2,2,1,16,10,16,62,59,46,229,243,163,0,0,0,229,243,163
3,State,Assam,1329,932,547,3439,2885,1252,254,155,61,81,106,26,318,313,101,76,66,26,483,463,178,138,105,66,345,358,112,205,196,75,114,89,33,59,38,28,822,838,385,7180,6081,2712,0,0,0,7180,6081,2712
4,State,Bihar,2917,2060,2070,5031,3259,3497,54,47,30,90,58,65,206,165,149,201,144,94,531,336,365,407,258,288,124,78,77,51,48,41,30,31,14,94,70,88,395,461,316,9600,6679,6729,0,0,0,9600,6679,6729
5,State,Chhattisgarh,1942,1909,721,8962,8203,2815,189,167,69,39,52,25,208,183,95,118,79,23,315,216,72,82,63,15,233,153,57,112,64,22,131,87,32,715,584,315,1134,1172,404,13865,12716,4593,6,0,6,13871,12716,4599
6,State,Goa,2157,816,130,1470,660,124,30,12,7,0,0,0,3,0,0,32,12,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,2,7,2,0,3710,1502,264,0,0,0,3710,1502,264
7,State,Gujarat,2620,2604,1195,13941,13148,5972,300,296,122,173,176,66,316,264,149,132,162,79,344,442,179,248,326,119,96,116,60,106,108,54,233,180,122,134,148,58,115,91,44,18414,17619,8040,0,0,0,18414,17619,8040
8,State,Haryana,4193,3384,1834,4391,3846,2110,151,131,56,37,28,21,79,64,32,142,126,85,750,677,377,408,399,221,342,278,156,102,86,49,109,80,51,389,334,160,1309,1063,654,11652,9819,5429,0,0,0,11652,9819,5429
9,State,Himachal Pradesh,894,1514,341,1556,2450,553,128,201,36,16,38,8,42,107,16,15,26,4,338,561,75,55,36,3,283,525,72,69,35,27,9,11,3,6,6,3,46,43,11,3119,4992,1077,0,0,0,3119,4992,1077
10,State,Jammu & Kashmir,697,825,126,3529,4686,542,26,42,13,29,46,5,161,223,41,0,0,0,143,194,15,10,28,2,133,166,13,17,20,3,3,1,0,356,486,57,1036,1332,184,5997,7855,986,2,0,2,5999,7855,988
11,State,Jharkhand,1621,976,983,2338,1707,1532,754,643,544,252,197,137,154,183,174,67,71,31,110,125,85,37,34,24,73,91,61,30,34,14,29,18,9,23,14,20,16,7,13,5394,3975,3542,0,0,0,5394,3975,3542
12,State,Karnataka,3420,5234,1405,35830,43142,9014,106,142,12,0,0,0,24,6,2,16,21,7,356,454,66,206,184,40,150,270,26,15,33,0,160,172,51,181,290,65,1599,2068,368,41707,51562,10990,0,0,0,41707,51562,10990
13,State,Kerala,14247,15953,1515,21795,24936,2290,1251,1310,112,71,73,7,264,208,114,78,89,13,468,515,46,296,315,25,172,200,21,568,639,29,202,209,8,234,247,41,1003,1279,128,40181,45458,4303,0,0,0,40181,45458,4303
14,State,Madhya Pradesh,13024,13960,3604,25020,27791,5815,727,889,195,365,684,149,513,619,172,318,499,114,1888,1822,486,577,599,173,1311,1223,313,263,251,40,457,395,112,1844,1812,377,3050,2427,363,47469,51149,11427,11,0,11,47480,51149,11438
15,State,Maharashtra,8908,7206,4289,17347,15116,7873,190,176,100,33,22,28,246,187,91,216,171,94,564,322,390,100,91,58,464,231,332,141,137,95,114,107,58,310,299,193,1671,1359,652,29740,25102,13863,0,0,0,29740,25102,13863
