Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
1,State,Andhra Pradesh,7264,8470,2465,13041,17308,4631,89,111,55,58,47,56,98,162,53,77,86,34,536,674,131,252,292,84,284,382,47,97,165,58,71,60,32,562,683,320,1765,2285,706,23658,30051,8541,1,1,0,23659,30052,8541
2,State,Arunachal Pradesh,42,52,26,83,129,40,8,3,3,0,0,0,8,18,12,0,0,0,10,12,9,4,6,6,6,6,3,3,3,1,3,2,1,17,33,12,53,88,38,227,340,142,0,0,0,227,340,142
3,State,Assam,1236,1043,475,3193,2610,1147,511,436,237,44,36,18,197,114,59,12,9,3,1313,1061,399,116,112,72,1197,949,327,162,129,11,58,57,19,200,128,103,344,212,130,7270,5835,2601,0,0,0,7270,5835,2601
4,State,Bihar,2393,1641,1542,3220,1911,1720,357,163,204,115,76,64,493,356,328,94,70,59,882,665,573,527,374,308,355,291,265,216,160,98,55,24,38,21,31,21,376,443,220,8222,5540,4867,0,0,0,8222,5540,4867
5,State,Chhattisgarh,2226,2627,607,6572,6295,1701,49,176,6,118,133,45,408,468,163,364,181,130,410,456,168,94,61,45,316,395,123,337,144,55,42,21,15,552,395,251,2503,2106,768,13581,13002,3909,0,0,0,13581,13002,3909
6,State,Goa,2867,1264,222,1329,728,110,14,14,3,0,0,0,10,11,1,42,39,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,1,0,0,0,38,24,2,4304,2084,339,0,0,0,4304,2084,339
7,State,Gujarat,4967,4242,1656,13717,12961,5169,63,55,38,157,191,75,445,461,200,109,117,65,693,599,369,235,233,132,458,366,237,212,236,100,214,180,96,186,175,56,795,827,328,21558,20044,8152,7,0,7,21565,20044,8159
8,State,Haryana,3461,3589,1509,3585,3182,1711,208,209,88,81,82,46,124,118,55,101,110,46,748,784,319,424,475,183,324,309,136,72,62,23,103,83,40,447,368,168,2395,1732,1165,11325,10319,5170,0,0,0,11325,10319,5170
9,State,Himachal Pradesh,1016,2037,377,1478,2453,546,56,84,12,0,0,0,42,59,16,0,0,0,184,361,60,58,120,22,126,241,38,0,0,0,0,0,0,0,0,0,377,590,155,3153,5584,1166,0,0,0,3153,5584,1166
10,State,Jammu & Kashmir,886,1265,162,2194,3001,358,8,14,5,7,16,2,60,93,9,0,0,0,207,270,32,0,0,0,207,270,32,0,0,0,0,0,0,376,571,60,1739,2462,330,5477,7692,958,0,0,0,5477,7692,958
