Time,Accidents,Type
06:00 - 09:00 hrs,"57,844",Day
09:00 - 12:00 hrs ,"78,427",Day
12:00 - 15:00 hrs ,"72,880",Day
15:00 - 18:00 hrs ,"79,789",Day
18:00 - 21:00 hrs ,"76,700",Night
21:00 - 24:00 hrs ,"49,706",Night
00:00 - 03:00 hrs ,"32,811",Night
03:00 - 06:00 hrs ,"38,227",Night
