Time,Accidents,Type
06:00 - 09:00 hrs,57170,Day
09:00 - 12:00 hrs ,76626,Day
12:00 - 15:00 hrs ,72290,Day
15:00 - 18:00 hrs ,78201,Day
18:00 - 21:00 hrs ,75430,Night
21:00 - 24:00 hrs ,53492,Night
00:00 - 03:00 hrs ,35439,Night
03:00 - 06:00 hrs ,36056,Night
