Time,Accidents,Type
06:00 - 09:00 hrs,"57,531",Day
09:00 - 12:00 hrs ,"80,709",Day
12:00 - 15:00 hrs ,"75,336",Day
15:00 - 18:00 hrs ,"83,829",Day
18:00 - 21:00 hrs ,"79,555",Night
21:00 - 24:00 hrs ,"52,239",Night
00:00 - 03:00 hrs ,"33,130",Night
03:00 - 06:00 hrs ,"35,357",Night
