Time,Accidents,Type
06:00 - 09:00 hrs,56104,Day
09:00 - 12:00 hrs ,77303,Day
12:00 - 15:00 hrs ,74841,Day
15:00 - 18:00 hrs ,84017,Day
18:00 - 21:00 hrs ,80771,Night
21:00 - 24:00 hrs ,51693,Night
00:00 - 03:00 hrs ,31850,Night
03:00 - 06:00 hrs ,33804,Night
