Time,Accidents,Type
06:00 - 09:00 hrs,"53,450",Day
09:00 - 12:00 hrs ,"78,137",Day
12:00 - 15:00 hrs ,"76,384",Day
15:00 - 18:00 hrs ,"84,436",Day
18:00 - 21:00 hrs ,"83,254",Night
21:00 - 24:00 hrs ,"52,570",Night
00:00 - 03:00 hrs ,"29,179",Night
03:00 - 06:00 hrs ,"31,990",Night
