Time,Accidents,Type
06:00 - 09:00 hrs,"54,522",Day
09:00 - 12:00 hrs ,"75,771",Day
12:00 - 15:00 hrs ,"73,380",Day
15:00 - 18:00 hrs ,"85,834",Day
18:00 - 21:00 hrs ,"84,555",Night
21:00 - 24:00 hrs ,"50,970",Night
00:00 - 03:00 hrs ,"25,976",Night
03:00 - 06:00 hrs ,"29,644",Night
