Time,Accidents,Type
06:00 - 09:00 hrs,"55,518",Day
09:00 - 12:00 hrs ,"81,964",Day
12:00 - 15:00 hrs ,"79,616",Day
15:00 - 18:00 hrs ,"87,819",Day
18:00 - 21:00 hrs ,"86,836",Night
21:00 - 24:00 hrs ,"51,425",Night
00:00 - 03:00 hrs ,"27,954",Night
03:00 - 06:00 hrs ,"30,291",Night
