Time,Accidents,Type
06:00 - 09:00 hrs,51551,Day
09:00 - 12:00 hrs ,71426,Day
12:00 - 15:00 hrs ,71594,Day
15:00 - 18:00 hrs ,82456,Day
18:00 - 21:00 hrs ,85686,Night
21:00 - 24:00 hrs ,49567,Night
00:00 - 03:00 hrs ,25050,Night
03:00 - 06:00 hrs ,27580,Night
